Grid ID,Latitude,Longitude
4738,23.875,-70.625
4739,23.875,-70.375
4740,23.875,-70.125
4741,23.875,-69.875
4742,23.875,-69.625
4743,23.875,-69.375
4744,23.875,-69.125
4745,23.875,-68.875
4746,23.875,-68.625
4747,23.875,-68.375
4748,23.875,-68.125
4749,23.875,-67.875
4750,23.875,-67.625
4751,23.875,-67.375
4752,23.875,-67.125
4753,23.875,-66.875
4754,23.875,-66.625
4755,23.875,-66.375
4756,23.875,-66.125
4757,23.875,-65.875
4758,23.875,-65.625
4759,23.875,-65.375
4760,23.875,-65.125
4761,23.875,-64.875
4762,23.875,-64.625
4763,23.875,-64.375
4764,23.875,-64.125
4765,23.875,-63.875
4766,23.875,-63.625
4767,23.875,-63.375
4768,23.875,-63.125
4769,23.875,-62.875
4770,23.875,-62.625
4771,23.875,-62.375
4772,23.875,-62.125
4773,23.875,-61.875
4774,23.875,-61.625
4775,23.875,-61.375
4776,23.875,-61.125
4777,23.875,-60.875
4778,23.875,-60.625
4779,23.875,-60.375
4780,23.875,-60.125
4781,23.875,-59.875
4782,23.875,-59.625
4783,23.875,-59.375
4784,23.875,-59.125
4785,23.875,-58.875
4786,23.875,-58.625
4787,23.875,-58.375
4788,23.875,-58.125
4789,23.875,-57.875
4790,23.875,-57.625
4791,23.875,-57.375
4792,23.875,-57.125
4793,23.875,-56.875
4794,23.875,-56.625
4795,23.875,-56.375
4796,23.875,-56.125
4797,23.875,-55.875
4798,23.875,-55.625
4799,23.875,-55.375
4800,23.875,-55.125
4801,24.125,-129.875
4802,24.125,-129.625
4803,24.125,-129.375
4804,24.125,-129.125
4805,24.125,-128.875
4806,24.125,-128.625
4807,24.125,-128.375
4808,24.125,-128.125
4809,24.125,-127.875
4810,24.125,-127.625
4811,24.125,-127.375
4812,24.125,-127.125
4813,24.125,-126.875
4814,24.125,-126.625
4815,24.125,-126.375
4816,24.125,-126.125
4817,24.125,-125.875
4818,24.125,-125.625
4819,24.125,-125.375
4820,24.125,-125.125
4821,24.125,-124.875
4822,24.125,-124.625
4823,24.125,-124.375
4824,24.125,-124.125
4825,24.125,-123.875
4826,24.125,-123.625
4827,24.125,-123.375
4828,24.125,-123.125
4829,24.125,-122.875
4830,24.125,-122.625
4831,24.125,-122.375
4832,24.125,-122.125
4833,24.125,-121.875
4834,24.125,-121.625
4835,24.125,-121.375
4836,24.125,-121.125
4837,24.125,-120.875
4838,24.125,-120.625
4839,24.125,-120.375
4840,24.125,-120.125
4841,24.125,-119.875
4842,24.125,-119.625
4843,24.125,-119.375
4844,24.125,-119.125
4845,24.125,-118.875
4846,24.125,-118.625
4847,24.125,-118.375
4848,24.125,-118.125
4849,24.125,-117.875
4850,24.125,-117.625
4851,24.125,-117.375
4852,24.125,-117.125
4853,24.125,-116.875
4854,24.125,-116.625
4855,24.125,-116.375
4856,24.125,-116.125
4857,24.125,-115.875
4858,24.125,-115.625
4859,24.125,-115.375
4860,24.125,-115.125
4861,24.125,-114.875
4862,24.125,-114.625
4863,24.125,-114.375
4864,24.125,-114.125
4865,24.125,-113.875
4866,24.125,-113.625
4867,24.125,-113.375
4868,24.125,-113.125
4869,24.125,-112.875
4870,24.125,-112.625
4871,24.125,-112.375
4872,24.125,-112.125
4873,24.125,-111.875
4874,24.125,-111.625
4875,24.125,-111.375
4876,24.125,-111.125
4877,24.125,-110.875
4878,24.125,-110.625
4879,24.125,-110.375
4880,24.125,-110.125
4881,24.125,-109.875
4882,24.125,-109.625
4883,24.125,-109.375
4884,24.125,-109.125
4885,24.125,-108.875
4886,24.125,-108.625
4887,24.125,-108.375
4888,24.125,-108.125
4889,24.125,-107.875
4890,24.125,-107.625
4891,24.125,-107.375
4892,24.125,-107.125
4893,24.125,-106.875
4894,24.125,-106.625
4895,24.125,-106.375
4896,24.125,-106.125
4897,24.125,-105.875
4898,24.125,-105.625
4899,24.125,-105.375
4900,24.125,-105.125
4901,24.125,-104.875
4902,24.125,-104.625
4903,24.125,-104.375
4904,24.125,-104.125
4905,24.125,-103.875
4906,24.125,-103.625
4907,24.125,-103.375
4908,24.125,-103.125
4909,24.125,-102.875
4910,24.125,-102.625
4911,24.125,-102.375
4912,24.125,-102.125
4913,24.125,-101.875
4914,24.125,-101.625
4915,24.125,-101.375
4916,24.125,-101.125
4917,24.125,-100.875
4918,24.125,-100.625
4919,24.125,-100.375
4920,24.125,-100.125
4921,24.125,-99.875
4922,24.125,-99.625
4923,24.125,-99.375
4924,24.125,-99.125
4925,24.125,-98.875
4926,24.125,-98.625
4927,24.125,-98.375
4928,24.125,-98.125
4929,24.125,-97.875
4930,24.125,-97.625
4931,24.125,-97.375
4932,24.125,-97.125
4933,24.125,-96.875
4934,24.125,-96.625
4935,24.125,-96.375
4936,24.125,-96.125
4937,24.125,-95.875
4938,24.125,-95.625
4939,24.125,-95.375
4940,24.125,-95.125
4941,24.125,-94.875
4942,24.125,-94.625
4943,24.125,-94.375
4944,24.125,-94.125
4945,24.125,-93.875
4946,24.125,-93.625
4947,24.125,-93.375
4948,24.125,-93.125
4949,24.125,-92.875
4950,24.125,-92.625
4951,24.125,-92.375
4952,24.125,-92.125
4953,24.125,-91.875
4954,24.125,-91.625
4955,24.125,-91.375
4956,24.125,-91.125
4957,24.125,-90.875
4958,24.125,-90.625
4959,24.125,-90.375
4960,24.125,-90.125
4961,24.125,-89.875
4962,24.125,-89.625
4963,24.125,-89.375
4964,24.125,-89.125
4965,24.125,-88.875
4966,24.125,-88.625
4967,24.125,-88.375
4968,24.125,-88.125
4969,24.125,-87.875
4970,24.125,-87.625
4971,24.125,-87.375
4972,24.125,-87.125
4973,24.125,-86.875
4974,24.125,-86.625
4975,24.125,-86.375
4976,24.125,-86.125
4977,24.125,-85.875
4978,24.125,-85.625
4979,24.125,-85.375
4980,24.125,-85.125
4981,24.125,-84.875
4982,24.125,-84.625
4983,24.125,-84.375
4984,24.125,-84.125
4985,24.125,-83.875
4986,24.125,-83.625
4987,24.125,-83.375
4988,24.125,-83.125
4989,24.125,-82.875
4990,24.125,-82.625
4991,24.125,-82.375
4992,24.125,-82.125
4993,24.125,-81.875
4994,24.125,-81.625
4995,24.125,-81.375
4996,24.125,-81.125
4997,24.125,-80.875
4998,24.125,-80.625
4999,24.125,-80.375
5000,24.125,-80.125
5001,24.125,-79.875
5002,24.125,-79.625
5003,24.125,-79.375
5004,24.125,-79.125
5005,24.125,-78.875
5006,24.125,-78.625
5007,24.125,-78.375
5008,24.125,-78.125
5009,24.125,-77.875
5010,24.125,-77.625
5011,24.125,-77.375
5012,24.125,-77.125
5013,24.125,-76.875
5014,24.125,-76.625
5015,24.125,-76.375
5016,24.125,-76.125
5017,24.125,-75.875
5018,24.125,-75.625
5019,24.125,-75.375
5020,24.125,-75.125
5021,24.125,-74.875
5022,24.125,-74.625
5023,24.125,-74.375
5024,24.125,-74.125
5025,24.125,-73.875
5026,24.125,-73.625
5027,24.125,-73.375
5028,24.125,-73.125
5029,24.125,-72.875
5030,24.125,-72.625
5031,24.125,-72.375
5032,24.125,-72.125
5033,24.125,-71.875
5034,24.125,-71.625
5035,24.125,-71.375
5036,24.125,-71.125
5037,24.125,-70.875
5038,24.125,-70.625
5039,24.125,-70.375
5040,24.125,-70.125
5041,24.125,-69.875
5042,24.125,-69.625
5043,24.125,-69.375
5044,24.125,-69.125
5045,24.125,-68.875
5046,24.125,-68.625
5047,24.125,-68.375
5048,24.125,-68.125
5049,24.125,-67.875
5050,24.125,-67.625
5051,24.125,-67.375
5052,24.125,-67.125
5053,24.125,-66.875
5054,24.125,-66.625
5055,24.125,-66.375
5056,24.125,-66.125
5057,24.125,-65.875
5058,24.125,-65.625
5059,24.125,-65.375
5060,24.125,-65.125
5061,24.125,-64.875
5062,24.125,-64.625
5063,24.125,-64.375
5064,24.125,-64.125
5065,24.125,-63.875
5066,24.125,-63.625
5067,24.125,-63.375
5068,24.125,-63.125
5069,24.125,-62.875
5070,24.125,-62.625
5071,24.125,-62.375
5072,24.125,-62.125
5073,24.125,-61.875
5074,24.125,-61.625
5075,24.125,-61.375
5076,24.125,-61.125
5077,24.125,-60.875
5078,24.125,-60.625
5079,24.125,-60.375
5080,24.125,-60.125
